Time,Open,High,Low,Close
2021-01-04 09:30:00,3764.61,3769.99,3764.61,3766.63
2021-01-04 09:31:00,3766.41,3767.22,3765.83,3766.13
2021-01-04 09:32:00,3765.93,3765.93,3763.09,3763.09
2021-01-04 09:33:00,3762.91,3762.91,3760.55,3760.99
2021-01-04 09:34:00,3761.13,3761.68,3759.62,3759.8
2021-01-04 09:35:00,3759.95,3759.95,3756.52,3756.78
2021-01-04 09:36:00,3756.78,3756.78,3754.42,3754.52
2021-01-04 09:37:00,3754.55,3755.01,3754.01,3754.47
2021-01-04 09:38:00,3754.59,3754.59,3752.73,3753.09
2021-01-04 09:39:00,3752.97,3754.4,3752.97,3753.82
2021-01-04 09:40:00,3753.46,3753.73,3750.93,3751.11
2021-01-04 09:41:00,3751.12,3751.96,3749.17,3751.82
2021-01-04 09:42:00,3751.79,3751.79,3749.47,3750.51
2021-01-04 09:43:00,3750.4,3752.18,3750.4,3752
2021-01-04 09:44:00,3751.96,3754.27,3751.85,3754.27
2021-01-04 09:45:00,3754.23,3755.59,3753.73,3755.47
2021-01-04 09:46:00,3755.32,3756.06,3755.15,3755.87
2021-01-04 09:47:00,3756.07,3756.79,3755.49,3755.81
2021-01-04 09:48:00,3755.48,3756.69,3755.43,3756.12
2021-01-04 09:49:00,3756.2,3757.02,3755.95,3756.42
2021-01-04 09:50:00,3756.38,3756.38,3753.06,3753.22
2021-01-04 09:51:00,3752.91,3752.91,3749.57,3749.91
2021-01-04 09:52:00,3749.7,3749.7,3745.33,3745.33
2021-01-04 09:53:00,3745.33,3747.8,3745.26,3747.66
2021-01-04 09:54:00,3747.65,3750.4,3747.65,3749.76
2021-01-04 09:55:00,3749.82,3751.14,3749.82,3750.84
2021-01-04 09:56:00,3750.86,3751.04,3747.74,3748.8
2021-01-04 09:57:00,3748.81,3750.05,3748.08,3750.05
2021-01-04 09:58:00,3749.71,3750.88,3749.57,3749.64
2021-01-04 09:59:00,3749.74,3749.75,3747.79,3747.9
2021-01-04 10:00:00,3748.66,3750.92,3748.66,3749.96
2021-01-04 10:01:00,3749.85,3749.85,3747.7,3747.92
2021-01-04 10:02:00,3748.06,3749.02,3748.02,3748.72
2021-01-04 10:03:00,3748.77,3748.77,3747.43,3748.21
2021-01-04 10:04:00,3748.24,3748.24,3745.68,3746.72
2021-01-04 10:05:00,3746.45,3747.47,3745.33,3745.59
2021-01-04 10:06:00,3745.48,3745.89,3744.21,3745.33
2021-01-04 10:07:00,3745.22,3745.23,3743.61,3743.61
2021-01-04 10:08:00,3743.65,3743.97,3741.74,3741.96
2021-01-04 10:09:00,3741.94,3742.75,3741.83,3742.71
